speaker_id,next_speaker_id,1,2,3,4,5,6,7,8,9,10,11
0,0,4,3,3,4,5,3,3,5,7,6,7
0,1,3,4,4,3,5,4,5,6,7,6,6
0,2,3,3,4,3,5,4,5,6,6,5,7
0,3,6,6,7,7,7,7,8,8,9,8,8
0,4,3,4,4,4,5,5,3,6,7,6,7
1,0,3,4,3,4,5,5,5,6,7,7,8
1,1,2,4,3,3,5,5,5,6,7,6,7
1,2,2,3,3,3,4,5,6,6,6,6,7
1,3,6,6,6,7,7,8,8,8,8,7,8
1,4,2,3,4,4,5,6,4,6,7,7,8
2,0,4,4,3,3,4,4,4,8,7,7,7
2,1,3,3,3,2,4,4,5,6,6,7,5
2,2,3,3,3,2,4,4,5,5,4,4,5
2,3,6,6,5,6,6,7,6,8,8,8,8
2,4,3,3,3,3,5,5,4,6,8,8,7
3,0,3,6,4,2,5,3,4,6,7,6,8
3,1,2,4,5,2,4,5,5,6,6,5,6
3,2,2,3,5,2,4,4,3,3,3,4,6
3,3,7,7,6,5,8,7,8,9,10,9,10
3,4,2,3,5,2,5,5,6,8,8,7,8
4,0,4,4,4,5,6,6,4,8,8,9,9
4,1,3,3,4,3,5,5,6,7,7,6,8
4,2,3,3,4,3,4,5,5,6,6,6,8
4,3,5,6,6,7,7,8,8,8,9,9,9
4,4,3,3,4,4,5,5,2,7,7,7,8
